FOREIGN_COUNTRY,count
United States,1486
Russia,684
Mexico,540
Poland,499
"Vietnam, Democratic Rep. Of",480
United Arab Emirates,473
United Kingdom,401
Thailand,352
Greece,341
Iraq,317
Croatia,288
Romania,282
Oman,248
Albania,231
Kuwait,210
Taiwan,195
Canada,175
Italy,168
Qatar,166
Spain,162
Saudi Arabia,159
Somalia,148
South Africa,146
Israel,136
Nepal,135
Senegal,121
Dominican Repulic,117
Colombia,111
Belgium,105
Indonesia,102
Gautemala,97
Australia,92
Lithuania,92
Bulgaria,88
Venezuela,87
Morocco,82
Libyan Arab Republic,78
Puerto Rico,77
Kenya,77
France,62
Djibouti,61
Ecuador,60
China,60
Madagascar,59
Cyprus,58
Kazakistan,56
Tanzania,55
Azarbaijan,55
Jamaica,54
Peru,50
Reunion,47
Mauritius,46
Maldives,45
Chile,45
Slovak Republic,45
Ireland,44
Sierra Leona,39
Gambia,36
Panama,36
El Salvador,35
Serbia,34
Germany,33
Sri Lanka,33
Ethiopia,32
Jordan,32
Portugal,31
"Yemen, Democratic",30
Angola,27
Trinidad & Tobago,27
Mozambique,27
Slovenia,24
Benin,24
Liberia,23
"Macedonia,The Former Yugoslav Republic Of",22
Nigeria,22
Guyana,22
Honduras,22
Cape Verde Islands,21
Ghana,21
Mauritania,20
Netherlands,20
"Congo, The Democratic Republic Of The",17
Guinea,16
Iran,16
Bhutan,16
Brazil,16
Bangladesh,16
Costa Rica,16
Cote D Ivoire,15
"Moldova, Republic Of",15
Malta,15
Nicaragua,15
Togo,14
Montenegro,13
Bahrain,12
Latvia,12
French Guyana,12
Uzbekistan,11
Brunei,10
Ukraine,10
Bahamas,9
Guadeloupe,9
Georgia,9
Tajikistan,8
Guinea Bissau,8
Cameroon,7
Surinam,7
Turkey,6
Czech Republic,6
Egypt,6
Philippines,5
Congo,5
Bosnia & Herzegovina,5
Singapore,5
Syria,4
Hungary,4
Lebanon,4
Japan,4
Kyrghystan,3
Sweden,3
Urugay,3
Algeria,3
"Korea, Republic Of",3
Burkina Faso,3
Mali,3
French Polynesia,3
Martinique,3
Gabon,3
Belize,3
Palestine State,2
New Zealand,2
Mayotte,2
Fiji,2
Armenia,2
Comoros,2
Afghanistan,1
Turkmenistan,1
Pakistan,1
Cambodia,1
Malawi,1
Seychelles,1
Netherlands Antilles,1
Barbados,1
